git_commit,split_csv_sha256,label_scope,feature_set,features,classifier,split,n_train,n_eval,n_correct,accuracy,accuracy_ci_lower,accuracy_ci_upper,macro_f1,majority_class_floor,majority_class_floor_ci_lower,majority_class_floor_ci_upper,recall_glioma,recall_meningioma,recall_notumor,recall_pituitary
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,val,4909,1053,664,0.630579297245964,0.6010020870660133,0.6592072354437855,0.6317132875610194,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.43866171003717475,0.5393258426966292,0.7698412698412699,0.7849056603773585
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,test,4909,1051,643,0.6117982873453853,0.5819788488040386,0.6408034451937045,0.6156856212599641,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.45353159851301117,0.5280898876404494,0.7211155378486056,0.7537878787878788
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,val,4909,1053,598,0.5679012345679012,0.5377878146960233,0.5975210330090719,0.5617631076778469,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.5836431226765799,0.30711610486891383,0.7301587301587301,0.660377358490566
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_4,n_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,test,4909,1051,576,0.5480494766888677,0.5178402149109776,0.5779087710199672,0.5455843763764041,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.5799256505576208,0.31086142322097376,0.6693227091633466,0.6401515151515151
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_3_strict,n_zero|max_intensity|bbox_aspect,decision_tree,val,4909,1053,533,0.5061728395061729,0.4760078379011575,0.5362929664356694,0.49407031192649775,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.48698884758364314,0.18726591760299627,0.6666666666666666,0.6943396226415094
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_3_strict,n_zero|max_intensity|bbox_aspect,decision_tree,test,4909,1051,545,0.5185537583254044,0.4883334783540826,0.5486389023519259,0.5052537896033392,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.5204460966542751,0.1947565543071161,0.6772908366533864,0.6931818181818182
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_3_strict,n_zero|max_intensity|bbox_aspect,logistic_regression,val,4909,1053,448,0.4254510921177588,0.3959129267455713,0.45553120549428916,0.4082500807744469,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.5724907063197026,0.15730337078651685,0.5555555555555556,0.4226415094339623
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,wallis_3_strict,n_zero|max_intensity|bbox_aspect,logistic_regression,test,4909,1051,466,0.4433872502378687,0.4136133286151855,0.4735735097434042,0.4165979152624092,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.6245353159851301,0.11610486891385768,0.549800796812749,0.48863636363636365
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,val,4909,1053,679,0.6448243114909782,0.6154404598705281,0.6731553341857941,0.6333618325556323,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.8178438661710037,0.3258426966292135,0.7420634920634921,0.6981132075471698
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,decision_tree,test,4909,1051,665,0.6327307326355851,0.6031525066829371,0.6613422168292769,0.6182636500677541,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.828996282527881,0.29213483146067415,0.6932270916334662,0.7196969696969697
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,val,4909,1053,568,0.5394112060778727,0.50921654806303,0.5693193565490184,0.5351390777312903,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.5724907063197026,0.2808988764044944,0.6388888888888888,0.6716981132075471
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,frac_zero_sensitivity,frac_zero|max_intensity|bbox_aspect|bbox_fill,logistic_regression,test,4909,1051,558,0.5309229305423406,0.5006944499392615,0.5609261845707526,0.5249116465949083,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.5762081784386617,0.26217228464419473,0.6374501992031872,0.6553030303030303
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,decision_tree,val,4909,1053,558,0.5299145299145299,0.49971474575094454,0.5598968444967547,0.5127019545372908,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.38661710037174724,0.23220973782771537,0.7579365079365079,0.7584905660377359
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,decision_tree,test,4909,1051,549,0.5223596574690771,0.4921348878119217,0.5524215709876269,0.508658351599151,0.2559467174119886,0.23048562553272908,0.28318536671900646,0.3754646840148699,0.25842696629213485,0.7250996015936255,0.7462121212121212
9eb9550dca47eb4f44103eb07bcb8c463a61bdb9,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,four_class,shape_only,bbox_aspect|bbox_fill,logistic_regression,val,4909,1053,510,0.4843304843304843,0.45425734032852355,0.5145175409703008,0.4813425392567566,0.25546058879392214,0.23004089812716622,0.2826580069908474,0.587360594795539,0.2883895131086142,0.6666666666666666,0.4037735849056604
