n_zero,frac_zero,max_intensity,bbox_aspect,bbox_fill,width,height,empty_mask,filepath,class_label,label_index,assigned_split
967,0.019101234567901235,234,1.068421052631579,0.1698470313715323,225,225,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_50.jpg,meningioma,1,train
4678,0.015241955453609457,238,1.0751072961373391,0.16887683859748315,554,554,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_714.jpg,meningioma,1,train
962,0.017272335535765584,236,1.07035175879397,0.16920282161983627,236,236,False,data/raw/D1_nickparvar_kaggle/Testing/glioma/Te-gl_68.jpg,glioma,0,train
4678,0.015241955453609457,238,1.0751072961373391,0.16887683859748315,554,554,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_61.jpg,meningioma,1,train
6005,0.0195656140442336,236,1.0751072961373391,0.16921950091233842,554,554,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_96.jpg,meningioma,1,train
6005,0.0195656140442336,236,1.0751072961373391,0.16921950091233842,554,554,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_458.jpg,meningioma,1,train
967,0.019101234567901235,234,1.068421052631579,0.1698470313715323,225,225,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_468.jpg,meningioma,1,train
15936,0.31688208391330286,255,1.2185792349726776,0.6282192653581318,214,235,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_42.jpg,meningioma,1,train
101868,0.3320685338757628,255,1.2239467849223946,0.6287035251775442,528,581,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_214.jpg,meningioma,1,train
15936,0.31688208391330286,255,1.2185792349726776,0.6282192653581318,214,235,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1110.jpg,meningioma,1,train
101868,0.3320685338757628,255,1.2239467849223946,0.6287035251775442,528,581,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_639.jpg,meningioma,1,train
127739,0.33252375374202786,255,1.2217821782178218,0.6288492706645057,591,650,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_262.jpg,meningioma,1,train
128523,0.3345646231940648,255,1.2237623762376237,0.6278893908808356,591,650,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_464.jpg,meningioma,1,train
75231,0.2869834899902344,255,1.125,0.07179919360169211,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_490.jpg,meningioma,1,train
72744,0.277496337890625,255,1.0794117647058823,0.15957685526526688,512,512,False,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_46.jpg,meningioma,1,train
74590,0.28453826904296875,255,1.0773638968481376,0.1351277205389258,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1257.jpg,meningioma,1,train
239,0.004026280323450135,216,1.37012987012987,0.4085061857573706,212,280,False,data/raw/D1_nickparvar_kaggle/Training/notumor/Tr-no_300.jpg,notumor,2,train
67431,0.2572288513183594,255,1.0796178343949046,0.317372188715405,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1279.jpg,meningioma,1,train
69902,0.26665496826171875,255,1.0725075528700907,0.2460320837411174,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_474.jpg,meningioma,1,train
72130,0.27515411376953125,252,1.1886792452830188,0.23346976806096303,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_545.jpg,meningioma,1,train
69965,0.2668952941894531,254,1.1433333333333333,0.3262779397473275,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_257.jpg,meningioma,1,train
69608,0.265533447265625,255,1.1830065359477124,0.4429097605893186,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_729.jpg,meningioma,1,train
72492,0.2765350341796875,255,1.1506410256410255,0.3003178344403971,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1052.jpg,meningioma,1,train
73711,0.2811851501464844,255,1.1884498480243162,0.1918547252388467,512,512,False,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1026.jpg,meningioma,1,train
