pair_id,group,class_label,distance,split_a,split_b,filename_a,filename_b,filepath_a,filepath_b,index_a,index_b,git_commit,split_csv_sha256,d1_phash_sha256,seed
PAIR_01,crossing,glioma,6,test,train,Tr-gl_339.jpg,Tr-gl_1113.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_339.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_1113.jpg,3202,3396,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_02,same_split,glioma,6,train,train,Tr-gl_1306.jpg,Tr-gl_229.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_1306.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_229.jpg,3427,6606,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_03,crossing,glioma,6,test,train,Tr-gl_1104.jpg,Tr-gl_685.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_1104.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_685.jpg,768,3681,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_04,crossing,pituitary,6,test,train,Tr-pi_1010.jpg,Tr-pi_593.jpg,data/raw/D1_nickparvar_kaggle/Training/pituitary/Tr-pi_1010.jpg,data/raw/D1_nickparvar_kaggle/Training/pituitary/Tr-pi_593.jpg,1071,4494,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_05,crossing,pituitary,6,train,test,Tr-pi_615.jpg,Tr-pi_1004.jpg,data/raw/D1_nickparvar_kaggle/Training/pituitary/Tr-pi_615.jpg,data/raw/D1_nickparvar_kaggle/Training/pituitary/Tr-pi_1004.jpg,1446,4456,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_06,crossing,notumor,6,test,train,Tr-no_1153.jpg,Tr-no_320.jpg,data/raw/D1_nickparvar_kaggle/Training/notumor/Tr-no_1153.jpg,data/raw/D1_nickparvar_kaggle/Training/notumor/Tr-no_320.jpg,3086,3347,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_07,same_split,meningioma,6,train,train,Tr-me_918.jpg,Tr-me_92.jpg,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_918.jpg,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_92.jpg,1082,2158,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_08,crossing,notumor,6,train,test,Tr-no_397.jpg,Te-no_38.jpg,data/raw/D1_nickparvar_kaggle/Training/notumor/Tr-no_397.jpg,data/raw/D1_nickparvar_kaggle/Testing/notumor/Te-no_38.jpg,2696,3513,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_09,same_split,glioma,6,train,train,Tr-gl_155.jpg,Tr-gl_1183.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_155.jpg,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_1183.jpg,3193,4917,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
PAIR_10,crossing,pituitary,6,test,train,Tr-pi_1311.jpg,Te-pi_155.jpg,data/raw/D1_nickparvar_kaggle/Training/pituitary/Tr-pi_1311.jpg,data/raw/D1_nickparvar_kaggle/Testing/pituitary/Te-pi_155.jpg,4966,5523,83a30618925862cd96dbe65c50f76a3c04ae7d98,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,42
