dataset,label,path,sha256
D1,Glioma,data/raw/D1_nickparvar_kaggle/Training/glioma/Tr-gl_202.jpg,be25fd4116c4e6799dac2a75d5cb8c57a872fbdc55a03411490d54d0133dcf2b
D1,Meningioma,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_990.jpg,36e7d220064252459908969663d63fc3d98b298d73b9ed521b8e8081fbd57671
D1,No tumour,data/raw/D1_nickparvar_kaggle/Testing/notumor/Te-no_131.jpg,0e1eeb0a5c28d0b74aca27f1ec212932f73d57032592ef4f5038d40709ec77c4
D1,Pituitary,data/raw/D1_nickparvar_kaggle/Testing/pituitary/Te-pi_201.jpg,1b8e1c3d49cc36b62101afb9ad5ec9a94e2871dfcbee19bfd25802984399f8a3
D2,Glioma,data/raw/D2_brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00527_gl_co_t1.jpg,993b656d3fbe67ad19924908fedd4daa21aa2e97319b8931a10cee8f3d8fdee5
D2,Meningioma,data/raw/D2_brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_02450_me_sa_t1.jpg,7b0924608fe5ab085684f506cb90a86658fe18ccf542fb96f973df175956c0f6
D2,Pituitary,data/raw/D2_brisc2025/brisc2025/classification_task/train/pituitary/brisc2025_train_04943_pi_sa_t1.jpg,18f8f57b4e24675be6b09f4b4aeff670955d7d2ba6d2fbd3c897795bb2a38a8b
D2,No tumour,data/raw/D2_brisc2025/brisc2025/classification_task/train/no_tumor/brisc2025_train_02844_no_co_t1.jpg,79dfcbe9f00000f326252ce4af92f3d9f1ac0f33bb9a15b07a8b0a72dc65a304
D3B,GLIOMA01-i_607E,data/processed/D3B_icdc_glioma_selected_slices/GLIOMA01-i_607E/GLIOMA01-i_607E__111792131781__central03_idx0013.png,eb05a836bc8ccf5ab83bc90705034d8561a08a5e868628c44f8c86eae20499d4
D3B,GLIOMA01-i_C3C0,data/processed/D3B_icdc_glioma_selected_slices/GLIOMA01-i_C3C0/GLIOMA01-i_C3C0__178866258390__central03_idx0007.png,d494097e206ae022b98505d43e1f30b4ecb5bbd796da528a43d41872af1f3833
D3B,GLIOMA01-i_95FC,data/processed/D3B_icdc_glioma_selected_slices/GLIOMA01-i_95FC/GLIOMA01-i_95FC__320442389748__central03_idx0022.png,939a55ea65eedc88d902c5a47bbcafdb2b44185350a97c8e0f307c8ed0476468
D3B,GLIOMA01-i_6254,data/processed/D3B_icdc_glioma_selected_slices/GLIOMA01-i_6254/GLIOMA01-i_6254__404066766568__central03_idx0015.png,cb39bdbefc841d10a528424808918e60d45606ddf89ecf98b76ef2713d3469e6
D3C,UPENN-GBM-00014,data/processed/D3C_upenn_gbm_selected_slices/UPENN-GBM-00014/UPENN-GBM-00014__660787317431__central03_idx0096.png,5f1d8ca290cd98c5598c631a3fd26a2a34c0b51fab692faed40af31370d80afe
D3C,UPENN-GBM-00060,data/processed/D3C_upenn_gbm_selected_slices/UPENN-GBM-00060/UPENN-GBM-00060__380536096181__central03_idx0096.png,dfd7a4aabf9cfbccb3e6ed773eb9604af53f221e4474097d62f892a1a2811f73
D3C,UPENN-GBM-00303,data/processed/D3C_upenn_gbm_selected_slices/UPENN-GBM-00303/UPENN-GBM-00303__539492460365__central03_idx0096.png,21b6647a4453a7b3032b72b446b769ae3fa7f596eab50377f003b5aae8eb0d8c
D3C,UPENN-GBM-00128,data/processed/D3C_upenn_gbm_selected_slices/UPENN-GBM-00128/UPENN-GBM-00128__485389367901__central03_idx0096.png,2ac05a4ab453e3bac34e3307bd92dc30b09ed61618725d562c7d3a6cba4c1341
duplicate pair D1,,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1021.jpg,000b5af2922fff3ea689f3132b43538ffe9d01a8b9b2a09d4d0aa47ba94cda01
duplicate pair D2,,data/raw/D2_brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_02342_me_sa_t1.jpg,000b5af2922fff3ea689f3132b43538ffe9d01a8b9b2a09d4d0aa47ba94cda01
