experiment_id,architecture,seed,full_n_slices,full_n_patients,full_glioma_rate,full_patient_majority_rate,full_mean_confidence,full_mean_entropy,full_mean_glioma_prob,full_median_glioma_prob,full_pred_glioma,full_pred_meningioma,full_pred_notumor,full_pred_pituitary,sensitivity_n_slices,sensitivity_n_patients,sensitivity_glioma_rate,sensitivity_patient_majority_rate,sensitivity_mean_confidence,sensitivity_mean_entropy,sensitivity_mean_glioma_prob,sensitivity_median_glioma_prob,sensitivity_pred_glioma,sensitivity_pred_meningioma,sensitivity_pred_notumor,sensitivity_pred_pituitary,delta_glioma_rate
E001,ResNet18,42,3050,610,0.8013,0.8197,0.8564,0.3721,0.741,0.8883,0.8013,0.002,0.1852,0.0115,2995,599,0.809,0.8264,0.858,0.3685,0.7481,0.8924,0.809,0.0013,0.18,0.0097,0.0077
E001,ResNet18,43,3050,610,0.6331,0.6557,0.7395,0.6613,0.5504,0.6045,0.6331,0.0128,0.2311,0.123,2995,599,0.6367,0.6611,0.7396,0.6614,0.5529,0.6073,0.6367,0.0124,0.2274,0.1235,0.0036
E001,ResNet18,44,3050,610,0.6541,0.6656,0.7512,0.6059,0.5808,0.6432,0.6541,0.0069,0.2797,0.0593,2995,599,0.6601,0.6728,0.7508,0.6067,0.5854,0.6484,0.6601,0.006,0.2735,0.0604,0.006
E001,ResNet18,45,3050,610,0.6613,0.682,0.8219,0.4442,0.6159,0.747,0.6613,0.0043,0.2987,0.0357,2995,599,0.6648,0.6845,0.822,0.443,0.619,0.7486,0.6648,0.0037,0.2972,0.0344,0.0035
E001,ResNet18,46,3050,610,0.622,0.641,0.7494,0.6255,0.5627,0.6063,0.622,0.0069,0.3584,0.0128,2995,599,0.6274,0.6494,0.7485,0.6272,0.5671,0.6122,0.6274,0.007,0.3526,0.013,0.0054
E002,EfficientNet-B0,42,3050,610,0.4577,0.4607,0.8632,0.3443,0.4643,0.3592,0.4577,0.0082,0.5236,0.0105,2995,599,0.4598,0.4624,0.8639,0.3428,0.4664,0.3677,0.4598,0.008,0.5222,0.01,0.0021
E002,EfficientNet-B0,43,3050,610,0.6118,0.6311,0.836,0.4308,0.5834,0.7163,0.6118,0.0151,0.2675,0.1056,2995,599,0.6144,0.6344,0.8359,0.431,0.5862,0.7241,0.6144,0.015,0.2651,0.1055,0.0026
E002,EfficientNet-B0,44,3050,610,0.5256,0.5361,0.795,0.5235,0.5098,0.4932,0.5256,0.0177,0.4056,0.0511,2995,599,0.5279,0.5392,0.7941,0.5253,0.5115,0.4952,0.5279,0.0177,0.4037,0.0508,0.0023
E002,EfficientNet-B0,45,3050,610,0.4525,0.4443,0.7368,0.6764,0.4378,0.3539,0.4525,0.0079,0.4862,0.0534,2995,599,0.4548,0.4457,0.7364,0.6774,0.4398,0.3563,0.4548,0.0073,0.4858,0.0521,0.0023
E002,EfficientNet-B0,46,3050,610,0.5213,0.5295,0.8264,0.4545,0.506,0.4991,0.5213,0.0161,0.398,0.0646,2995,599,0.5249,0.5342,0.8257,0.4556,0.5092,0.5032,0.5249,0.016,0.3957,0.0634,0.0036
E003,ViT-B/16,42,3050,610,0.463,0.4803,0.8041,0.4888,0.4402,0.3769,0.463,0.1495,0.3348,0.0528,2995,599,0.4638,0.4825,0.804,0.4894,0.441,0.3801,0.4638,0.1503,0.3346,0.0514,0.0008
E003,ViT-B/16,43,3050,610,0.2102,0.2016,0.9018,0.2542,0.2165,0.0194,0.2102,0.0272,0.7564,0.0062,2995,599,0.2083,0.2003,0.9025,0.2523,0.2147,0.0191,0.2083,0.027,0.7593,0.0053,-0.0018
E003,ViT-B/16,44,3050,610,0.2085,0.2082,0.8384,0.4068,0.2151,0.0261,0.2085,0.0551,0.6387,0.0977,2995,599,0.2077,0.2087,0.8383,0.407,0.2146,0.0261,0.2077,0.0554,0.6401,0.0968,-0.0008
E003,ViT-B/16,45,3050,610,0.2502,0.2393,0.8697,0.3245,0.2597,0.0728,0.2502,0.0413,0.7056,0.003,2995,599,0.2508,0.2387,0.8699,0.3245,0.2606,0.0738,0.2508,0.0411,0.7052,0.003,0.0006
E003,ViT-B/16,46,3050,610,0.1856,0.1902,0.8839,0.2899,0.1853,0.0132,0.1856,0.1102,0.7023,0.002,2995,599,0.185,0.187,0.884,0.2894,0.1846,0.0132,0.185,0.1078,0.7058,0.0013,-0.0006
