experiment_id,architecture,true_class,predicted_class,mean_count,sd_count,row_proportion
E001,ResNet18,glioma,glioma,258.6,2.41,0.9613
E001,ResNet18,glioma,meningioma,5.6,1.95,0.0208
E001,ResNet18,glioma,notumor,4.6,2.07,0.0171
E001,ResNet18,glioma,pituitary,0.2,0.45,0.0007
E001,ResNet18,meningioma,glioma,6.2,4.09,0.0232
E001,ResNet18,meningioma,meningioma,258.8,3.96,0.9693
E001,ResNet18,meningioma,notumor,1.0,0.71,0.0037
E001,ResNet18,meningioma,pituitary,1.0,0.71,0.0037
E001,ResNet18,notumor,glioma,1.6,1.14,0.0064
E001,ResNet18,notumor,meningioma,11.4,2.51,0.0454
E001,ResNet18,notumor,notumor,237.8,2.59,0.9474
E001,ResNet18,notumor,pituitary,0.2,0.45,0.0008
E001,ResNet18,pituitary,glioma,0.4,0.55,0.0015
E001,ResNet18,pituitary,meningioma,2.8,2.05,0.0106
E001,ResNet18,pituitary,notumor,0.6,0.89,0.0023
E001,ResNet18,pituitary,pituitary,260.2,2.59,0.9856
E002,EfficientNet-B0,glioma,glioma,256.6,3.21,0.9539
E002,EfficientNet-B0,glioma,meningioma,9.0,2.83,0.0335
E002,EfficientNet-B0,glioma,notumor,3.4,0.55,0.0126
E002,EfficientNet-B0,glioma,pituitary,0.0,0.0,0.0
E002,EfficientNet-B0,meningioma,glioma,4.6,2.07,0.0172
E002,EfficientNet-B0,meningioma,meningioma,260.8,3.35,0.9768
E002,EfficientNet-B0,meningioma,notumor,0.0,0.0,0.0
E002,EfficientNet-B0,meningioma,pituitary,1.6,1.34,0.006
E002,EfficientNet-B0,notumor,glioma,3.6,4.22,0.0143
E002,EfficientNet-B0,notumor,meningioma,9.0,4.69,0.0359
E002,EfficientNet-B0,notumor,notumor,237.8,2.17,0.9474
E002,EfficientNet-B0,notumor,pituitary,0.6,0.89,0.0024
E002,EfficientNet-B0,pituitary,glioma,0.2,0.45,0.0008
E002,EfficientNet-B0,pituitary,meningioma,2.6,1.14,0.0098
E002,EfficientNet-B0,pituitary,notumor,0.0,0.0,0.0
E002,EfficientNet-B0,pituitary,pituitary,261.2,1.3,0.9894
E003,ViT-B/16,glioma,glioma,256.0,3.0,0.9517
E003,ViT-B/16,glioma,meningioma,8.6,3.36,0.032
E003,ViT-B/16,glioma,notumor,4.0,2.35,0.0149
E003,ViT-B/16,glioma,pituitary,0.4,0.55,0.0015
E003,ViT-B/16,meningioma,glioma,6.8,2.05,0.0255
E003,ViT-B/16,meningioma,meningioma,256.4,1.67,0.9603
E003,ViT-B/16,meningioma,notumor,0.4,0.89,0.0015
E003,ViT-B/16,meningioma,pituitary,3.4,1.52,0.0127
E003,ViT-B/16,notumor,glioma,6.0,5.43,0.0239
E003,ViT-B/16,notumor,meningioma,8.8,4.09,0.0351
E003,ViT-B/16,notumor,notumor,233.2,1.1,0.9291
E003,ViT-B/16,notumor,pituitary,3.0,2.55,0.012
E003,ViT-B/16,pituitary,glioma,0.8,1.1,0.003
E003,ViT-B/16,pituitary,meningioma,4.6,2.97,0.0174
E003,ViT-B/16,pituitary,notumor,0.0,0.0,0.0
E003,ViT-B/16,pituitary,pituitary,258.6,3.29,0.9795
