comparison,hamming_threshold,n_left,n_right,near_duplicate_pairs,cross_class_pairs,cross_class_rate,leakage_groups,largest_group_size,pairs_crossing_frozen_split,pairs_crossing_train_test,train_test_cross_class,train_test_within_class,matched_candidate_images,matched_candidate_share,decision,git_commit,git_tree_dirty,split_csv_sha256,d1_phash_sha256,d2_phash_sha256,d3b_phash_sha256,d3c_phash_sha256
D1_internal,0,7013,7013,1447,2,0.001382,6212,14,0,0,0,0,,,,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_internal,2,7013,7013,3197,11,0.003441,5639,19,0,0,0,0,,,,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_internal,4,7013,7013,5125,46,0.008976,4755,24,0,0,0,0,,,,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_internal,6,7013,7013,7931,345,0.0435,3425,175,857,415,44,371,,,,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_internal,8,7013,7013,13860,1951,0.140765,1877,2751,3012,1456,276,1180,,,,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D2,0,7013,5950,5037,2,0.000397,,,,,,,4744,0.797311,REJECT,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D2,2,7013,5950,5601,13,0.002321,,,,,,,4746,0.797647,REJECT,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D2,4,7013,5950,7290,68,0.009328,,,,,,,4755,0.79916,REJECT,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D2,6,7013,5950,11059,614,0.05552,,,,,,,4795,0.805882,REJECT,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D2,8,7013,5950,20760,3392,0.163391,,,,,,,4891,0.822017,REJECT,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D3B,0,7013,265,0,0,0.0,,,,,,,0,0.0,RETAIN,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
D1_vs_D3B,2,7013,265,0,0,0.0,,,,,,,0,0.0,RETAIN,311bc4b97111abb5204f04828ae04a5191b1d89c,True,944ce00e4be958f3688a0996f6fb928fc7717e7c2804abb8000f28976efe0d43,a8d581c6b5edd3136e6661973179e6688591bade6121156ccd0a1b2a6bff2be8,228cf6e7a06129358b7c67238957a9339df79fd924dccc2e953da7ffc511152f,b835ed8cfdebc467e22d8741a3e04ae52cd567e8ab967a6529a844bd1aed03d7,d4f1bdfd8ac68fe806d7ab354b9a95d6a8276e5fa4e151a933592b13add1834f
