experiment_id,architecture,variant,bin,lower,upper,total_count,accuracy,confidence,gap
E001,ResNet18,raw,6,0.3333,0.4,7,0.5714,0.373,-0.1985
E001,ResNet18,raw,7,0.4,0.4667,6,0.6667,0.4411,-0.2256
E001,ResNet18,raw,8,0.4667,0.5333,26,0.5,0.5102,0.0102
E001,ResNet18,raw,9,0.5333,0.6,32,0.6562,0.5672,-0.0891
E001,ResNet18,raw,10,0.6,0.6667,48,0.4375,0.6334,0.1959
E001,ResNet18,raw,11,0.6667,0.7333,55,0.5818,0.7007,0.1189
E001,ResNet18,raw,12,0.7333,0.8,59,0.6271,0.7664,0.1393
E001,ResNet18,raw,13,0.8,0.8667,76,0.7237,0.8376,0.1139
E001,ResNet18,raw,14,0.8667,0.9333,122,0.8934,0.9082,0.0148
E001,ResNet18,raw,15,0.9333,1.0,4824,0.9911,0.9968,0.0057
E001,ResNet18,scaled,6,0.3333,0.4,8,0.625,0.3668,-0.2582
E001,ResNet18,scaled,7,0.4,0.4667,9,0.4444,0.4366,-0.0078
E001,ResNet18,scaled,8,0.4667,0.5333,37,0.5946,0.51,-0.0846
E001,ResNet18,scaled,9,0.5333,0.6,44,0.4545,0.5708,0.1162
E001,ResNet18,scaled,10,0.6,0.6667,59,0.5932,0.6336,0.0404
E001,ResNet18,scaled,11,0.6667,0.7333,67,0.597,0.6996,0.1026
E001,ResNet18,scaled,12,0.7333,0.8,68,0.7059,0.77,0.0641
E001,ResNet18,scaled,13,0.8,0.8667,87,0.8391,0.8375,-0.0016
E001,ResNet18,scaled,14,0.8667,0.9333,163,0.908,0.9066,-0.0014
E001,ResNet18,scaled,15,0.9333,1.0,4713,0.9934,0.9945,0.001
E002,EfficientNet-B0,raw,6,0.3333,0.4,2,0.5,0.3802,-0.1198
E002,EfficientNet-B0,raw,7,0.4,0.4667,5,0.6,0.4318,-0.1682
E002,EfficientNet-B0,raw,8,0.4667,0.5333,25,0.52,0.5095,-0.0105
E002,EfficientNet-B0,raw,9,0.5333,0.6,28,0.4643,0.5693,0.105
E002,EfficientNet-B0,raw,10,0.6,0.6667,38,0.6316,0.6298,-0.0017
E002,EfficientNet-B0,raw,11,0.6667,0.7333,34,0.5,0.7035,0.2035
E002,EfficientNet-B0,raw,12,0.7333,0.8,45,0.5556,0.7669,0.2114
E002,EfficientNet-B0,raw,13,0.8,0.8667,46,0.6957,0.8371,0.1415
E002,EfficientNet-B0,raw,14,0.8667,0.9333,86,0.7674,0.9046,0.1372
E002,EfficientNet-B0,raw,15,0.9333,1.0,4946,0.9883,0.9979,0.0097
E002,EfficientNet-B0,scaled,6,0.3333,0.4,4,0.75,0.3689,-0.3811
E002,EfficientNet-B0,scaled,7,0.4,0.4667,7,0.2857,0.4381,0.1524
E002,EfficientNet-B0,scaled,8,0.4667,0.5333,30,0.5667,0.5024,-0.0643
E002,EfficientNet-B0,scaled,9,0.5333,0.6,40,0.5,0.5686,0.0686
E002,EfficientNet-B0,scaled,10,0.6,0.6667,38,0.5526,0.6316,0.0789
E002,EfficientNet-B0,scaled,11,0.6667,0.7333,47,0.5106,0.6978,0.1871
E002,EfficientNet-B0,scaled,12,0.7333,0.8,45,0.6889,0.7724,0.0835
E002,EfficientNet-B0,scaled,13,0.8,0.8667,62,0.7742,0.8354,0.0612
E002,EfficientNet-B0,scaled,14,0.8667,0.9333,108,0.8148,0.9057,0.0909
E002,EfficientNet-B0,scaled,15,0.9333,1.0,4874,0.9906,0.9966,0.0061
E003,ViT-B/16,raw,6,0.3333,0.4,1,0.0,0.3689,0.3689
E003,ViT-B/16,raw,7,0.4,0.4667,15,0.0667,0.4436,0.3769
E003,ViT-B/16,raw,8,0.4667,0.5333,29,0.4138,0.51,0.0962
E003,ViT-B/16,raw,9,0.5333,0.6,39,0.5897,0.569,-0.0207
E003,ViT-B/16,raw,10,0.6,0.6667,32,0.7188,0.6338,-0.0849
E003,ViT-B/16,raw,11,0.6667,0.7333,49,0.5714,0.7009,0.1295
E003,ViT-B/16,raw,12,0.7333,0.8,53,0.5849,0.7648,0.1799
E003,ViT-B/16,raw,13,0.8,0.8667,66,0.6364,0.8379,0.2015
E003,ViT-B/16,raw,14,0.8667,0.9333,122,0.7049,0.9043,0.1993
E003,ViT-B/16,raw,15,0.9333,1.0,4849,0.9847,0.9966,0.0118
E003,ViT-B/16,scaled,6,0.3333,0.4,1,0.0,0.3618,0.3618
E003,ViT-B/16,scaled,7,0.4,0.4667,20,0.1,0.4289,0.3289
E003,ViT-B/16,scaled,8,0.4667,0.5333,37,0.4595,0.5088,0.0493
E003,ViT-B/16,scaled,9,0.5333,0.6,42,0.6429,0.5631,-0.0798
E003,ViT-B/16,scaled,10,0.6,0.6667,57,0.7193,0.6349,-0.0844
E003,ViT-B/16,scaled,11,0.6667,0.7333,57,0.5088,0.7022,0.1935
E003,ViT-B/16,scaled,12,0.7333,0.8,56,0.625,0.7713,0.1463
E003,ViT-B/16,scaled,13,0.8,0.8667,94,0.6702,0.8357,0.1655
E003,ViT-B/16,scaled,14,0.8667,0.9333,163,0.7546,0.9036,0.149
E003,ViT-B/16,scaled,15,0.9333,1.0,4728,0.9907,0.9933,0.0026
