seed,comparison,n_pairs,b,c,n_discordant,method,p_value,p_holm,significant_holm_0.05
42,E001 vs E002,3050,1203,155,1358,chi2_continuity_corrected,1.4508853114674071e-177,4.352655934402221e-177,True
42,E001 vs E003,3050,1177,145,1322,chi2_continuity_corrected,7.085756192656593e-177,1.4171512385313186e-176,True
42,E002 vs E003,3050,456,472,928,chi2_continuity_corrected,0.6224372189915912,0.6224372189915912,False
43,E001 vs E002,3050,474,409,883,chi2_continuity_corrected,0.03125809718993117,0.03125809718993117,True
43,E001 vs E003,3050,1362,72,1434,chi2_continuity_corrected,5.880007027657492e-254,1.7640021082972475e-253,True
43,E002 vs E003,3050,1273,48,1321,chi2_continuity_corrected,1.2665636065594233e-248,2.5331272131188466e-248,True
44,E001 vs E002,3050,713,321,1034,chi2_continuity_corrected,5.1056816700197075e-34,5.1056816700197075e-34,True
44,E001 vs E003,3050,1434,75,1509,chi2_continuity_corrected,9.554637013198076e-268,2.8663911039594226e-267,True
44,E002 vs E003,3050,1034,67,1101,chi2_continuity_corrected,2.474692173640872e-186,4.949384347281744e-186,True
45,E001 vs E002,3050,767,130,897,chi2_continuity_corrected,4.4963681598047835e-100,8.992736319609567e-100,True
45,E001 vs E003,3050,1329,75,1404,chi2_continuity_corrected,3.5854867947998372e-245,1.0756460384399513e-244,True
45,E002 vs E003,3050,807,190,997,chi2_continuity_corrected,9.221732039408616e-85,9.221732039408616e-85,True
46,E001 vs E002,3050,628,321,949,chi2_continuity_corrected,2.9857741911854013e-23,2.9857741911854013e-23,True
46,E001 vs E003,3050,1399,68,1467,chi2_continuity_corrected,3.357947422546459e-264,1.0073842267639378e-263,True
46,E002 vs E003,3050,1082,58,1140,chi2_continuity_corrected,1.1944377958176162e-201,2.3888755916352323e-201,True
